no,count,kimari-ji,eng,time
1,3,‚ ‚«‚Ì,akino,700
2,3,‚Í‚é‚·,harusu,700
3,2,‚ ‚µ,ashi,450
4,2,‚½‚²,tago,450
5,2,‚¨‚­,oku,450
6,2,‚©‚³,kasa,450
7,3,‚ ‚Ü‚Ì,amano,700
8,3,‚í‚ª‚¢,wagai,700
9,3,‚Í‚È‚Ì,hanano,700
10,2,‚±‚ê,kore,440
11,6,‚í‚½‚Ì‚Í‚ç‚â,watanoharaya,1400
12,3,‚ ‚Ü‚Â,amatsu,700
13,2,‚Â‚­,tsuku,435
14,2,‚Ý‚¿,michi,450
15,6,‚«‚Ý‚ª‚½‚ß‚Í,kimitamewa,1400
16,2,‚½‚¿,tachi,450
17,2,‚¿‚Í,chiwa,450
18,1,‚·,su,300
19,4,‚È‚É‚Í‚ª,naniwaga,800
20,2,‚í‚Ñ,wabi,450
21,3,‚¢‚Ü‚±,imako,700
22,1,‚Ó,fu,300
23,2,‚Â‚«,tsuki,440
24,2,‚±‚Ì,kono,450
25,3,‚È‚É‚µ,nanishi,700
26,2,‚ð‚®,ogu,450
27,3,‚Ý‚©‚Ì,mikano,700
28,3,‚â‚Ü‚´,yamaza,700
29,4,‚±‚±‚ë‚ ,kokoroa,800
30,3,‚ ‚è‚ ,aria,700
31,6,‚ ‚³‚Ú‚ç‚¯‚ ,asaborakea,1400
32,3,‚â‚Ü‚ª,yamaga,700
33,2,‚Ð‚³,hisa,450
34,2,‚½‚ê,tare,450
35,3,‚Ð‚Æ‚Í,hitowa,700
36,2,‚È‚Â,natsu,450
37,2,‚µ‚ç,shira,450
38,3,‚í‚·‚ç,wasura,700
39,3,‚ ‚³‚À,asaji,700
40,2,‚µ‚Ì,shino,450
41,2,‚±‚Ð,kohi,450
42,4,‚¿‚¬‚è‚«,chigiriki,800
43,2,‚ ‚Ð,ai,430
44,3,‚ ‚Ó‚±,afuko,700
45,3,‚ ‚Í‚ê,aware,700
46,2,‚ä‚ç,yura,450
47,2,‚â‚Ö,yae,450
48,3,‚©‚º‚ð,kazeo,700
49,3,‚Ý‚©‚«,mikaki,700
50,6,‚«‚Ý‚ª‚½‚ß‚ð,kimitameo,1400
51,2,‚©‚­,kaku,450
52,2,‚ ‚¯,ake,450
53,3,‚È‚°‚«,nageki,700
54,3,‚í‚·‚ê,wasure,700
55,2,‚½‚«,taki,450
56,3,‚ ‚ç‚´,araza,700
57,1,‚ß,me,300
58,3,‚ ‚è‚Ü,arima,700
59,2,‚â‚·,yasu,450
60,3,‚¨‚Ù‚¦,ohoe,700
61,2,‚¢‚É,ini,450
62,2,‚æ‚ð,yoo,450
63,3,‚¢‚Ü‚Í,imawa,700
64,6,‚ ‚³‚Ú‚ç‚¯‚¤,asaborakeu,1400
65,2,‚¤‚ç,ura,450
66,2,‚à‚ë,moro,450
67,3,‚Í‚é‚Ì,haruno,700
68,4,‚±‚±‚ë‚É,kokoroni,800
69,3,‚ ‚ç‚µ,arashi,700
70,1,‚³,sa,300
71,2,‚ä‚Ó,yufu,450
72,2,‚¨‚Æ,oto,450
73,2,‚½‚©,taka,450
74,2,‚¤‚©,uka,450
75,4,‚¿‚¬‚è‚¨,chigirio,800
76,6,‚í‚½‚Ì‚Í‚ç‚±,watanoharako,1400
77,1,‚¹,se,300
78,3,‚ ‚Í‚À,awaji,700
79,3,‚ ‚«‚©,akika,700
80,3,‚È‚ª‚©,nagaka,700
81,1,‚Ù,ho,300
82,2,‚¨‚à,omo,450
83,5,‚æ‚Ì‚È‚©‚æ,yononakayo,1100
84,3,‚È‚ª‚ç,nagara,700
85,2,‚æ‚à,yomo,460
86,3,‚È‚°‚¯,nageke,700
87,1,‚Þ,mu,300
88,4,‚È‚É‚Í‚¦,naniwae,800
89,2,‚½‚Ü,tama,450
90,2,‚Ý‚¹,mise,450
91,2,‚«‚è,kiri,450
92,3,‚í‚ª‚»,wagaso,700
93,5,‚æ‚Ì‚È‚©‚Í,yononakawa,1100
94,2,‚Ý‚æ,miyo,450
95,3,‚¨‚Ù‚¯,ohoke,700
96,3,‚Í‚È‚³,hanasa,700
97,2,‚±‚Ê,konu,450
98,3,‚©‚º‚»,kazeso,700
99,3,‚Ð‚Æ‚à,hitomo,700
100,2,‚à‚à,momo,450
